flops 4.43 GMac params 22.51 M
Files already downloaded and verified
Files already downloaded and verified
epoch 0 loss 0.02364635290324688 acc 0.9186
epoch 1 loss 0.006433087121844291 acc 0.9552
epoch 2 loss 0.004582320257723331 acc 0.9648
epoch 3 loss 0.0036843949419260026 acc 0.9674
epoch 4 loss 0.0031807210079208017 acc 0.9706
epoch 5 loss 0.0028144694958254697 acc 0.9751
epoch 6 loss 0.002512398418560624 acc 0.9748
epoch 7 loss 0.002341386993341148 acc 0.9761
epoch 8 loss 0.0021366911640949547 acc 0.9777
epoch 9 loss 0.002039545651897788 acc 0.9776
epoch 10 loss 0.001856624499913305 acc 0.9784
epoch 11 loss 0.001788264735043049 acc 0.9796
epoch 12 loss 0.001649083787575364 acc 0.9798
epoch 13 loss 0.0015988718226272612 acc 0.9808
epoch 14 loss 0.00151057327831164 acc 0.9812
epoch 15 loss 0.0014136960126832129 acc 0.981
epoch 16 loss 0.0014029567807447166 acc 0.9818
epoch 17 loss 0.0013309558920282872 acc 0.9827
epoch 18 loss 0.0012776195767894387 acc 0.9815
epoch 19 loss 0.0012127362205646933 acc 0.9826
epoch 20 loss 0.0011568551484216006 acc 0.9828
epoch 21 loss 0.0010986756292637437 acc 0.9838
epoch 22 loss 0.0010599601527955384 acc 0.9827
epoch 23 loss 0.0010194539819518105 acc 0.983
epoch 24 loss 0.0009987334102392197 acc 0.9818
epoch 25 loss 0.0009483563788654283 acc 0.9846
epoch 26 loss 0.0009246303226053715 acc 0.9842
epoch 27 loss 0.0009256203063484281 acc 0.9831
epoch 28 loss 0.0008980393502023071 acc 0.9837
epoch 29 loss 0.0008864735197788104 acc 0.9843
epoch 30 loss 0.000888320403858088 acc 0.9842
epoch 31 loss 0.0008685731738433242 acc 0.9837
epoch 32 loss 0.0008143890339462087 acc 0.9846
epoch 33 loss 0.0007862375931954012 acc 0.9845
epoch 34 loss 0.0007873614962818101 acc 0.985
epoch 35 loss 0.0007785934330662713 acc 0.9847
epoch 36 loss 0.0007559231236483902 acc 0.9836
epoch 37 loss 0.0007172550783492625 acc 0.9853
epoch 38 loss 0.000732821427443996 acc 0.9843
epoch 39 loss 0.0007263359904801473 acc 0.9851
epoch 40 loss 0.0006888904105685651 acc 0.9851
epoch 41 loss 0.0006672340659843758 acc 0.985
epoch 42 loss 0.0006782527801441029 acc 0.9851
epoch 43 loss 0.0006759498079214245 acc 0.985
epoch 44 loss 0.0006617304920917377 acc 0.9859
epoch 45 loss 0.0006326251133065671 acc 0.9851
epoch 46 loss 0.0006442268693074584 acc 0.9858
epoch 47 loss 0.0006396889237081633 acc 0.9853
epoch 48 loss 0.0006242713049962185 acc 0.9852
epoch 49 loss 0.0006328375101648271 acc 0.9852
epoch 50 loss 0.0006096068124379963 acc 0.9855
epoch 51 loss 0.0005756622974690981 acc 0.9847
epoch 52 loss 0.0005876022347249091 acc 0.9855
epoch 53 loss 0.0005820861485833302 acc 0.9859
epoch 54 loss 0.0005658467153692618 acc 0.9855
epoch 55 loss 0.0005791233452875168 acc 0.9868
epoch 56 loss 0.0005490272630332038 acc 0.9857
epoch 57 loss 0.0005592929413961247 acc 0.9863
epoch 58 loss 0.0005408637088537216 acc 0.9856
epoch 59 loss 0.0005595283538196236 acc 0.9858
epoch 60 loss 0.0005197530443174764 acc 0.9857
epoch 61 loss 0.000531396811734885 acc 0.9858
epoch 62 loss 0.0005223562232870609 acc 0.9858
epoch 63 loss 0.0005141634867223911 acc 0.9862
epoch 64 loss 0.0005073757282434962 acc 0.9859
epoch 65 loss 0.00048059659011894835 acc 0.985
epoch 66 loss 0.000514415565454401 acc 0.9857
epoch 67 loss 0.0004809104544832371 acc 0.9851
epoch 68 loss 0.0004924931174213998 acc 0.9861
epoch 69 loss 0.0004970321439183317 acc 0.9865
epoch 70 loss 0.0005155818152520806 acc 0.9864
epoch 71 loss 0.0004916062243888155 acc 0.9855
epoch 72 loss 0.0004820257769455202 acc 0.9865
epoch 73 loss 0.0004794006370380521 acc 0.986
epoch 74 loss 0.0005099709347938187 acc 0.9862
epoch 75 loss 0.00046264310442842543 acc 0.9868
epoch 76 loss 0.00045899698870256544 acc 0.9865
epoch 77 loss 0.00046518195024691523 acc 0.9863
epoch 78 loss 0.0004834801865858026 acc 0.986
epoch 79 loss 0.00046370220101671296 acc 0.987
epoch 80 loss 0.000438773430432193 acc 0.9864
epoch 81 loss 0.0004551648746849969 acc 0.9857
epoch 82 loss 0.0004387685197079554 acc 0.9858
epoch 83 loss 0.0004366937541635707 acc 0.9854
epoch 84 loss 0.0004320357020944357 acc 0.9863
epoch 85 loss 0.00043006065811961887 acc 0.9868
epoch 86 loss 0.00041963402124354615 acc 0.9865
epoch 87 loss 0.0004171039178501815 acc 0.9862
epoch 88 loss 0.00041029364991001783 acc 0.9861
epoch 89 loss 0.0004440396337257698 acc 0.986
epoch 90 loss 0.00040122458085417747 acc 0.9865
epoch 91 loss 0.0004127345432294533 acc 0.9856
epoch 92 loss 0.00039696818991331385 acc 0.9861
epoch 93 loss 0.0004085089692496695 acc 0.9868
epoch 94 loss 0.00042205479396274315 acc 0.986
epoch 95 loss 0.00040440855564782396 acc 0.9858
epoch 96 loss 0.0003899054302833974 acc 0.9867
epoch 97 loss 0.00039777584300609305 acc 0.9856
epoch 98 loss 0.0003864403079706244 acc 0.9856
epoch 99 loss 0.00038082576676039026 acc 0.9862

