flops 4.1 GMac params 30.79 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 64 lr 0.0018564172460717432 loss 0.0003901024478999898 acc 0.9858
epoch 65 lr 0.0017919965939785865 loss 0.00038117165382020173 acc 0.9853
epoch 66 lr 0.0017285213755860195 loss 0.0003897288148896769 acc 0.9852
epoch 67 lr 0.0016660542332711404 loss 0.0003820103251375258 acc 0.9855
epoch 68 lr 0.0016046568145616647 loss 0.0003709283193061128 acc 0.9851
epoch 69 lr 0.0015443897112972565 loss 0.0003778155150450766 acc 0.9865
epoch 70 lr 0.0014853123998327057 loss 0.00036294761543860656 acc 0.9856
epoch 71 lr 0.001427483182341936 loss 0.00037003843394108114 acc 0.986
epoch 72 lr 0.0013709591292808026 loss 0.0003573391146794893 acc 0.9856
epoch 73 lr 0.0013157960230654481 loss 0.00037008190366439524 acc 0.9852
epoch 74 lr 0.0012620483030217832 loss 0.00035627163954544814 acc 0.986
epoch 75 lr 0.0012097690116604505 loss 0.0003661877231532708 acc 0.9854
epoch 76 lr 0.0011590097423302681 loss 0.0003725653515383601 acc 0.9859
epoch 77 lr 0.0011098205883018242 loss 0.00036373966877814383 acc 0.9859
epoch 78 lr 0.001062250093331466 loss 0.0003550397478416562 acc 0.9855
epoch 79 lr 0.0010163452037544745 loss 0.0003621375153819099 acc 0.9851
epoch 80 lr 0.0009721512221546963 loss 0.0003486609996412881 acc 0.9858
epoch 81 lr 0.0009297117626563683 loss 0.00034358442006167026 acc 0.9858
epoch 82 lr 0.0008890687078822362 loss 0.000346783752378542 acc 0.9856
